name,url,types,abilities,hp,attack,defense,special-attack,special-defense,speed,is_legendary,generation,hidden_ability
clefable,https://pokeapi.co/api/v2/pokemon/36/,fairy,"cute-charm, magic-guard, unaware",95,70,73,95,90,60,False,generation-i,unaware
vulpix,https://pokeapi.co/api/v2/pokemon/37/,fire,"flash-fire, drought",38,41,40,50,65,65,False,generation-i,drought
ninetales,https://pokeapi.co/api/v2/pokemon/38/,fire,"flash-fire, drought",73,76,75,81,100,100,False,generation-i,drought
jigglypuff,https://pokeapi.co/api/v2/pokemon/39/,"normal, fairy","cute-charm, competitive, friend-guard",115,45,20,45,25,20,False,generation-i,friend-guard
wigglytuff,https://pokeapi.co/api/v2/pokemon/40/,"normal, fairy","cute-charm, competitive, frisk",140,70,45,85,50,45,False,generation-i,frisk
zubat,https://pokeapi.co/api/v2/pokemon/41/,"poison, flying","inner-focus, infiltrator",40,45,35,30,40,55,False,generation-i,infiltrator
golbat,https://pokeapi.co/api/v2/pokemon/42/,"poison, flying","inner-focus, infiltrator",75,80,70,65,75,90,False,generation-i,infiltrator
oddish,https://pokeapi.co/api/v2/pokemon/43/,"grass, poison","chlorophyll, run-away",45,50,55,75,65,30,False,generation-i,run-away
gloom,https://pokeapi.co/api/v2/pokemon/44/,"grass, poison","chlorophyll, stench",60,65,70,85,75,40,False,generation-i,stench
vileplume,https://pokeapi.co/api/v2/pokemon/45/,"grass, poison","chlorophyll, effect-spore",75,80,85,110,90,50,False,generation-i,effect-spore
paras,https://pokeapi.co/api/v2/pokemon/46/,"bug, grass","effect-spore, dry-skin, damp",35,70,55,45,55,25,False,generation-i,damp
parasect,https://pokeapi.co/api/v2/pokemon/47/,"bug, grass","effect-spore, dry-skin, damp",60,95,80,60,80,30,False,generation-i,damp
venonat,https://pokeapi.co/api/v2/pokemon/48/,"bug, poison","compound-eyes, tinted-lens, run-away",60,55,50,40,55,45,False,generation-i,run-away
venomoth,https://pokeapi.co/api/v2/pokemon/49/,"bug, poison","shield-dust, tinted-lens, wonder-skin",70,65,60,90,75,90,False,generation-i,wonder-skin
diglett,https://pokeapi.co/api/v2/pokemon/50/,ground,"sand-veil, arena-trap, sand-force",10,55,25,35,45,95,False,generation-i,sand-force
dugtrio,https://pokeapi.co/api/v2/pokemon/51/,ground,"sand-veil, arena-trap, sand-force",35,100,50,50,70,120,False,generation-i,sand-force
meowth,https://pokeapi.co/api/v2/pokemon/52/,normal,"pickup, technician, unnerve",40,45,35,40,40,90,False,generation-i,unnerve
persian,https://pokeapi.co/api/v2/pokemon/53/,normal,"limber, technician, unnerve",65,70,60,65,65,115,False,generation-i,unnerve
psyduck,https://pokeapi.co/api/v2/pokemon/54/,water,"damp, cloud-nine, swift-swim",50,52,48,65,50,55,False,generation-i,swift-swim
golduck,https://pokeapi.co/api/v2/pokemon/55/,water,"damp, cloud-nine, swift-swim",80,82,78,95,80,85,False,generation-i,swift-swim
mankey,https://pokeapi.co/api/v2/pokemon/56/,fighting,"vital-spirit, anger-point, defiant",40,80,35,35,45,70,False,generation-i,defiant
primeape,https://pokeapi.co/api/v2/pokemon/57/,fighting,"vital-spirit, anger-point, defiant",65,105,60,60,70,95,False,generation-i,defiant
growlithe,https://pokeapi.co/api/v2/pokemon/58/,fire,"intimidate, flash-fire, justified",55,70,45,70,50,60,False,generation-i,justified
arcanine,https://pokeapi.co/api/v2/pokemon/59/,fire,"intimidate, flash-fire, justified",90,110,80,100,80,95,False,generation-i,justified
poliwag,https://pokeapi.co/api/v2/pokemon/60/,water,"water-absorb, damp, swift-swim",40,50,40,40,40,90,False,generation-i,swift-swim
poliwhirl,https://pokeapi.co/api/v2/pokemon/61/,water,"water-absorb, damp, swift-swim",65,65,65,50,50,90,False,generation-i,swift-swim
poliwrath,https://pokeapi.co/api/v2/pokemon/62/,"water, fighting","water-absorb, damp, swift-swim",90,95,95,70,90,70,False,generation-i,swift-swim
abra,https://pokeapi.co/api/v2/pokemon/63/,psychic,"synchronize, inner-focus, magic-guard",25,20,15,105,55,90,False,generation-i,magic-guard
kadabra,https://pokeapi.co/api/v2/pokemon/64/,psychic,"synchronize, inner-focus, magic-guard",40,35,30,120,70,105,False,generation-i,magic-guard
alakazam,https://pokeapi.co/api/v2/pokemon/65/,psychic,"synchronize, inner-focus, magic-guard",55,50,45,135,95,120,False,generation-i,magic-guard
machop,https://pokeapi.co/api/v2/pokemon/66/,fighting,"guts, no-guard, steadfast",70,80,50,35,35,35,False,generation-i,steadfast
machoke,https://pokeapi.co/api/v2/pokemon/67/,fighting,"guts, no-guard, steadfast",80,100,70,50,60,45,False,generation-i,steadfast
machamp,https://pokeapi.co/api/v2/pokemon/68/,fighting,"guts, no-guard, steadfast",90,130,80,65,85,55,False,generation-i,steadfast
bellsprout,https://pokeapi.co/api/v2/pokemon/69/,"grass, poison","chlorophyll, gluttony",50,75,35,70,30,40,False,generation-i,gluttony
weepinbell,https://pokeapi.co/api/v2/pokemon/70/,"grass, poison","chlorophyll, gluttony",65,90,50,85,45,55,False,generation-i,gluttony
victreebel,https://pokeapi.co/api/v2/pokemon/71/,"grass, poison","chlorophyll, gluttony",80,105,65,100,70,70,False,generation-i,gluttony
tentacool,https://pokeapi.co/api/v2/pokemon/72/,"water, poison","clear-body, liquid-ooze, rain-dish",40,40,35,50,100,70,False,generation-i,rain-dish
tentacruel,https://pokeapi.co/api/v2/pokemon/73/,"water, poison","clear-body, liquid-ooze, rain-dish",80,70,65,80,120,100,False,generation-i,rain-dish
geodude,https://pokeapi.co/api/v2/pokemon/74/,"rock, ground","rock-head, sturdy, sand-veil",40,80,100,30,30,20,False,generation-i,sand-veil
graveler,https://pokeapi.co/api/v2/pokemon/75/,"rock, ground","rock-head, sturdy, sand-veil",55,95,115,45,45,35,False,generation-i,sand-veil
golem,https://pokeapi.co/api/v2/pokemon/76/,"rock, ground","rock-head, sturdy, sand-veil",80,120,130,55,65,45,False,generation-i,sand-veil
ponyta,https://pokeapi.co/api/v2/pokemon/77/,fire,"run-away, flash-fire, flame-body",50,85,55,65,65,90,False,generation-i,flame-body
rapidash,https://pokeapi.co/api/v2/pokemon/78/,fire,"run-away, flash-fire, flame-body",65,100,70,80,80,105,False,generation-i,flame-body
slowpoke,https://pokeapi.co/api/v2/pokemon/79/,"water, psychic","oblivious, own-tempo, regenerator",90,65,65,40,40,15,False,generation-i,regenerator
slowbro,https://pokeapi.co/api/v2/pokemon/80/,"water, psychic","oblivious, own-tempo, regenerator",95,75,110,100,80,30,False,generation-i,regenerator
magnemite,https://pokeapi.co/api/v2/pokemon/81/,"electric, steel","magnet-pull, sturdy, analytic",25,35,70,95,55,45,False,generation-i,analytic
magneton,https://pokeapi.co/api/v2/pokemon/82/,"electric, steel","magnet-pull, sturdy, analytic",50,60,95,120,70,70,False,generation-i,analytic
farfetchd,https://pokeapi.co/api/v2/pokemon/83/,"normal, flying","keen-eye, inner-focus, defiant",52,90,55,58,62,60,False,generation-i,defiant
doduo,https://pokeapi.co/api/v2/pokemon/84/,"normal, flying","run-away, early-bird, tangled-feet",35,85,45,35,35,75,False,generation-i,tangled-feet
dodrio,https://pokeapi.co/api/v2/pokemon/85/,"normal, flying","run-away, early-bird, tangled-feet",60,110,70,60,60,110,False,generation-i,tangled-feet
seel,https://pokeapi.co/api/v2/pokemon/86/,water,"thick-fat, hydration, ice-body",65,45,55,45,70,45,False,generation-i,ice-body
dewgong,https://pokeapi.co/api/v2/pokemon/87/,"water, ice","thick-fat, hydration, ice-body",90,70,80,70,95,70,False,generation-i,ice-body
grimer,https://pokeapi.co/api/v2/pokemon/88/,poison,"stench, sticky-hold, poison-touch",80,80,50,40,50,25,False,generation-i,poison-touch
muk,https://pokeapi.co/api/v2/pokemon/89/,poison,"stench, sticky-hold, poison-touch",105,105,75,65,100,50,False,generation-i,poison-touch
shellder,https://pokeapi.co/api/v2/pokemon/90/,water,"shell-armor, skill-link, overcoat",30,65,100,45,25,40,False,generation-i,overcoat
cloyster,https://pokeapi.co/api/v2/pokemon/91/,"water, ice","shell-armor, skill-link, overcoat",50,95,180,85,45,70,False,generation-i,overcoat
gastly,https://pokeapi.co/api/v2/pokemon/92/,"ghost, poison",levitate,30,35,30,100,35,80,False,generation-i,
haunter,https://pokeapi.co/api/v2/pokemon/93/,"ghost, poison",levitate,45,50,45,115,55,95,False,generation-i,
gengar,https://pokeapi.co/api/v2/pokemon/94/,"ghost, poison",cursed-body,60,65,60,130,75,110,False,generation-i,
onix,https://pokeapi.co/api/v2/pokemon/95/,"rock, ground","rock-head, sturdy, weak-armor",35,45,160,30,45,70,False,generation-i,weak-armor
drowzee,https://pokeapi.co/api/v2/pokemon/96/,psychic,"insomnia, forewarn, inner-focus",60,48,45,43,90,42,False,generation-i,inner-focus
hypno,https://pokeapi.co/api/v2/pokemon/97/,psychic,"insomnia, forewarn, inner-focus",85,73,70,73,115,67,False,generation-i,inner-focus
krabby,https://pokeapi.co/api/v2/pokemon/98/,water,"hyper-cutter, shell-armor, sheer-force",30,105,90,25,25,50,False,generation-i,sheer-force
kingler,https://pokeapi.co/api/v2/pokemon/99/,water,"hyper-cutter, shell-armor, sheer-force",55,130,115,50,50,75,False,generation-i,sheer-force
voltorb,https://pokeapi.co/api/v2/pokemon/100/,electric,"soundproof, static, aftermath",40,30,50,55,55,100,False,generation-i,aftermath
electrode,https://pokeapi.co/api/v2/pokemon/101/,electric,"soundproof, static, aftermath",60,50,70,80,80,150,False,generation-i,aftermath
exeggcute,https://pokeapi.co/api/v2/pokemon/102/,"grass, psychic","chlorophyll, harvest",60,40,80,60,45,40,False,generation-i,harvest
exeggutor,https://pokeapi.co/api/v2/pokemon/103/,"grass, psychic","chlorophyll, harvest",95,95,85,125,75,55,False,generation-i,harvest
cubone,https://pokeapi.co/api/v2/pokemon/104/,ground,"rock-head, lightning-rod, battle-armor",50,50,95,40,50,35,False,generation-i,battle-armor
marowak,https://pokeapi.co/api/v2/pokemon/105/,ground,"rock-head, lightning-rod, battle-armor",60,80,110,50,80,45,False,generation-i,battle-armor
hitmonlee,https://pokeapi.co/api/v2/pokemon/106/,fighting,"limber, reckless, unburden",50,120,53,35,110,87,False,generation-i,unburden
hitmonchan,https://pokeapi.co/api/v2/pokemon/107/,fighting,"keen-eye, iron-fist, inner-focus",50,105,79,35,110,76,False,generation-i,inner-focus
lickitung,https://pokeapi.co/api/v2/pokemon/108/,normal,"own-tempo, oblivious, cloud-nine",90,55,75,60,75,30,False,generation-i,cloud-nine
koffing,https://pokeapi.co/api/v2/pokemon/109/,poison,"levitate, neutralizing-gas, stench",40,65,95,60,45,35,False,generation-i,stench
weezing,https://pokeapi.co/api/v2/pokemon/110/,poison,"levitate, neutralizing-gas, stench",65,90,120,85,70,60,False,generation-i,stench
rhyhorn,https://pokeapi.co/api/v2/pokemon/111/,"ground, rock","lightning-rod, rock-head, reckless",80,85,95,30,30,25,False,generation-i,reckless
rhydon,https://pokeapi.co/api/v2/pokemon/112/,"ground, rock","lightning-rod, rock-head, reckless",105,130,120,45,45,40,False,generation-i,reckless
chansey,https://pokeapi.co/api/v2/pokemon/113/,normal,"natural-cure, serene-grace, healer",250,5,5,35,105,50,False,generation-i,healer
tangela,https://pokeapi.co/api/v2/pokemon/114/,grass,"chlorophyll, leaf-guard, regenerator",65,55,115,100,40,60,False,generation-i,regenerator
kangaskhan,https://pokeapi.co/api/v2/pokemon/115/,normal,"early-bird, scrappy, inner-focus",105,95,80,40,80,90,False,generation-i,inner-focus
horsea,https://pokeapi.co/api/v2/pokemon/116/,water,"swift-swim, sniper, damp",30,40,70,70,25,60,False,generation-i,damp
seadra,https://pokeapi.co/api/v2/pokemon/117/,water,"poison-point, sniper, damp",55,65,95,95,45,85,False,generation-i,damp
goldeen,https://pokeapi.co/api/v2/pokemon/118/,water,"swift-swim, water-veil, lightning-rod",45,67,60,35,50,63,False,generation-i,lightning-rod
seaking,https://pokeapi.co/api/v2/pokemon/119/,water,"swift-swim, water-veil, lightning-rod",80,92,65,65,80,68,False,generation-i,lightning-rod
staryu,https://pokeapi.co/api/v2/pokemon/120/,water,"illuminate, natural-cure, analytic",30,45,55,70,55,85,False,generation-i,analytic
starmie,https://pokeapi.co/api/v2/pokemon/121/,"water, psychic","illuminate, natural-cure, analytic",60,75,85,100,85,115,False,generation-i,analytic
mr-mime,https://pokeapi.co/api/v2/pokemon/122/,"psychic, fairy","soundproof, filter, technician",40,45,65,100,120,90,False,generation-i,technician
scyther,https://pokeapi.co/api/v2/pokemon/123/,"bug, flying","swarm, technician, steadfast",70,110,80,55,80,105,False,generation-i,steadfast
jynx,https://pokeapi.co/api/v2/pokemon/124/,"ice, psychic","oblivious, forewarn, dry-skin",65,50,35,115,95,95,False,generation-i,dry-skin
electabuzz,https://pokeapi.co/api/v2/pokemon/125/,electric,"static, vital-spirit",65,83,57,95,85,105,False,generation-i,vital-spirit
magmar,https://pokeapi.co/api/v2/pokemon/126/,fire,"flame-body, vital-spirit",65,95,57,100,85,93,False,generation-i,vital-spirit
pinsir,https://pokeapi.co/api/v2/pokemon/127/,bug,"hyper-cutter, mold-breaker, moxie",65,125,100,55,70,85,False,generation-i,moxie
tauros,https://pokeapi.co/api/v2/pokemon/128/,normal,"intimidate, anger-point, sheer-force",75,100,95,40,70,110,False,generation-i,sheer-force
magikarp,https://pokeapi.co/api/v2/pokemon/129/,water,"swift-swim, rattled",20,10,55,15,20,80,False,generation-i,rattled
gyarados,https://pokeapi.co/api/v2/pokemon/130/,"water, flying","intimidate, moxie",95,125,79,60,100,81,False,generation-i,moxie
lapras,https://pokeapi.co/api/v2/pokemon/131/,"water, ice","water-absorb, shell-armor, hydration",130,85,80,85,95,60,False,generation-i,hydration
ditto,https://pokeapi.co/api/v2/pokemon/132/,normal,"limber, imposter",48,48,48,48,48,48,False,generation-i,imposter
eevee,https://pokeapi.co/api/v2/pokemon/133/,normal,"run-away, adaptability, anticipation",55,55,50,45,65,55,False,generation-i,anticipation
vaporeon,https://pokeapi.co/api/v2/pokemon/134/,water,"water-absorb, hydration",130,65,60,110,95,65,False,generation-i,hydration
jolteon,https://pokeapi.co/api/v2/pokemon/135/,electric,"volt-absorb, quick-feet",65,65,60,110,95,130,False,generation-i,quick-feet
flareon,https://pokeapi.co/api/v2/pokemon/136/,fire,"flash-fire, guts",65,130,60,95,110,65,False,generation-i,guts
porygon,https://pokeapi.co/api/v2/pokemon/137/,normal,"trace, download, analytic",65,60,70,85,75,40,False,generation-i,analytic
omanyte,https://pokeapi.co/api/v2/pokemon/138/,"rock, water","swift-swim, shell-armor, weak-armor",35,40,100,90,55,35,False,generation-i,weak-armor
omastar,https://pokeapi.co/api/v2/pokemon/139/,"rock, water","swift-swim, shell-armor, weak-armor",70,60,125,115,70,55,False,generation-i,weak-armor
kabuto,https://pokeapi.co/api/v2/pokemon/140/,"rock, water","swift-swim, battle-armor, weak-armor",30,80,90,55,45,55,False,generation-i,weak-armor
kabutops,https://pokeapi.co/api/v2/pokemon/141/,"rock, water","swift-swim, battle-armor, weak-armor",60,115,105,65,70,80,False,generation-i,weak-armor
aerodactyl,https://pokeapi.co/api/v2/pokemon/142/,"rock, flying","rock-head, pressure, unnerve",80,105,65,60,75,130,False,generation-i,unnerve
snorlax,https://pokeapi.co/api/v2/pokemon/143/,normal,"immunity, thick-fat, gluttony",160,110,65,65,110,30,False,generation-i,gluttony
articuno,https://pokeapi.co/api/v2/pokemon/144/,"ice, flying","pressure, snow-cloak",90,85,100,95,125,85,True,generation-i,snow-cloak
zapdos,https://pokeapi.co/api/v2/pokemon/145/,"electric, flying","pressure, static",90,90,85,125,90,100,True,generation-i,static
moltres,https://pokeapi.co/api/v2/pokemon/146/,"fire, flying","pressure, flame-body",90,100,90,125,85,90,True,generation-i,flame-body
dratini,https://pokeapi.co/api/v2/pokemon/147/,dragon,"shed-skin, marvel-scale",41,64,45,50,50,50,False,generation-i,marvel-scale
dragonair,https://pokeapi.co/api/v2/pokemon/148/,dragon,"shed-skin, marvel-scale",61,84,65,70,70,70,False,generation-i,marvel-scale
dragonite,https://pokeapi.co/api/v2/pokemon/149/,"dragon, flying","inner-focus, multiscale",91,134,95,100,100,80,False,generation-i,multiscale
mewtwo,https://pokeapi.co/api/v2/pokemon/150/,psychic,"pressure, unnerve",106,110,90,154,90,130,True,generation-i,unnerve
mew,https://pokeapi.co/api/v2/pokemon/151/,psychic,synchronize,100,100,100,100,100,100,False,generation-i,
chikorita,https://pokeapi.co/api/v2/pokemon/152/,grass,"overgrow, leaf-guard",45,49,65,49,65,45,False,generation-ii,leaf-guard
bayleef,https://pokeapi.co/api/v2/pokemon/153/,grass,"overgrow, leaf-guard",60,62,80,63,80,60,False,generation-ii,leaf-guard
meganium,https://pokeapi.co/api/v2/pokemon/154/,grass,"overgrow, leaf-guard",80,82,100,83,100,80,False,generation-ii,leaf-guard
cyndaquil,https://pokeapi.co/api/v2/pokemon/155/,fire,"blaze, flash-fire",39,52,43,60,50,65,False,generation-ii,flash-fire
quilava,https://pokeapi.co/api/v2/pokemon/156/,fire,"blaze, flash-fire",58,64,58,80,65,80,False,generation-ii,flash-fire
typhlosion,https://pokeapi.co/api/v2/pokemon/157/,fire,"blaze, flash-fire",78,84,78,109,85,100,False,generation-ii,flash-fire
totodile,https://pokeapi.co/api/v2/pokemon/158/,water,"torrent, sheer-force",50,65,64,44,48,43,False,generation-ii,sheer-force
croconaw,https://pokeapi.co/api/v2/pokemon/159/,water,"torrent, sheer-force",65,80,80,59,63,58,False,generation-ii,sheer-force
feraligatr,https://pokeapi.co/api/v2/pokemon/160/,water,"torrent, sheer-force",85,105,100,79,83,78,False,generation-ii,sheer-force
sentret,https://pokeapi.co/api/v2/pokemon/161/,normal,"run-away, keen-eye, frisk",35,46,34,35,45,20,False,generation-ii,frisk
furret,https://pokeapi.co/api/v2/pokemon/162/,normal,"run-away, keen-eye, frisk",85,76,64,45,55,90,False,generation-ii,frisk
hoothoot,https://pokeapi.co/api/v2/pokemon/163/,"normal, flying","insomnia, keen-eye, tinted-lens",60,30,30,36,56,50,False,generation-ii,tinted-lens
noctowl,https://pokeapi.co/api/v2/pokemon/164/,"normal, flying","insomnia, keen-eye, tinted-lens",100,50,50,86,96,70,False,generation-ii,tinted-lens
ledyba,https://pokeapi.co/api/v2/pokemon/165/,"bug, flying","swarm, early-bird, rattled",40,20,30,40,80,55,False,generation-ii,rattled
ledian,https://pokeapi.co/api/v2/pokemon/166/,"bug, flying","swarm, early-bird, iron-fist",55,35,50,55,110,85,False,generation-ii,iron-fist
spinarak,https://pokeapi.co/api/v2/pokemon/167/,"bug, poison","swarm, insomnia, sniper",40,60,40,40,40,30,False,generation-ii,sniper
ariados,https://pokeapi.co/api/v2/pokemon/168/,"bug, poison","swarm, insomnia, sniper",70,90,70,60,70,40,False,generation-ii,sniper
crobat,https://pokeapi.co/api/v2/pokemon/169/,"poison, flying","inner-focus, infiltrator",85,90,80,70,80,130,False,generation-ii,infiltrator
chinchou,https://pokeapi.co/api/v2/pokemon/170/,"water, electric","volt-absorb, illuminate, water-absorb",75,38,38,56,56,67,False,generation-ii,water-absorb
lanturn,https://pokeapi.co/api/v2/pokemon/171/,"water, electric","volt-absorb, illuminate, water-absorb",125,58,58,76,76,67,False,generation-ii,water-absorb
pichu,https://pokeapi.co/api/v2/pokemon/172/,electric,"static, lightning-rod",20,40,15,35,35,60,False,generation-ii,lightning-rod
cleffa,https://pokeapi.co/api/v2/pokemon/173/,fairy,"cute-charm, magic-guard, friend-guard",50,25,28,45,55,15,False,generation-ii,friend-guard
igglybuff,https://pokeapi.co/api/v2/pokemon/174/,"normal, fairy","cute-charm, competitive, friend-guard",90,30,15,40,20,15,False,generation-ii,friend-guard
togepi,https://pokeapi.co/api/v2/pokemon/175/,fairy,"hustle, serene-grace, super-luck",35,20,65,40,65,20,False,generation-ii,super-luck
togetic,https://pokeapi.co/api/v2/pokemon/176/,"fairy, flying","hustle, serene-grace, super-luck",55,40,85,80,105,40,False,generation-ii,super-luck
natu,https://pokeapi.co/api/v2/pokemon/177/,"psychic, flying","synchronize, early-bird, magic-bounce",40,50,45,70,45,70,False,generation-ii,magic-bounce
xatu,https://pokeapi.co/api/v2/pokemon/178/,"psychic, flying","synchronize, early-bird, magic-bounce",65,75,70,95,70,95,False,generation-ii,magic-bounce
mareep,https://pokeapi.co/api/v2/pokemon/179/,electric,"static, plus",55,40,40,65,45,35,False,generation-ii,plus
flaaffy,https://pokeapi.co/api/v2/pokemon/180/,electric,"static, plus",70,55,55,80,60,45,False,generation-ii,plus
ampharos,https://pokeapi.co/api/v2/pokemon/181/,electric,"static, plus",90,75,85,115,90,55,False,generation-ii,plus
bellossom,https://pokeapi.co/api/v2/pokemon/182/,grass,"chlorophyll, healer",75,80,95,90,100,50,False,generation-ii,healer
marill,https://pokeapi.co/api/v2/pokemon/183/,"water, fairy","thick-fat, huge-power, sap-sipper",70,20,50,20,50,40,False,generation-ii,sap-sipper
azumarill,https://pokeapi.co/api/v2/pokemon/184/,"water, fairy","thick-fat, huge-power, sap-sipper",100,50,80,60,80,50,False,generation-ii,sap-sipper
sudowoodo,https://pokeapi.co/api/v2/pokemon/185/,rock,"sturdy, rock-head, rattled",70,100,115,30,65,30,False,generation-ii,rattled
politoed,https://pokeapi.co/api/v2/pokemon/186/,water,"water-absorb, damp, drizzle",90,75,75,90,100,70,False,generation-ii,drizzle
hoppip,https://pokeapi.co/api/v2/pokemon/187/,"grass, flying","chlorophyll, leaf-guard, infiltrator",35,35,40,35,55,50,False,generation-ii,infiltrator
skiploom,https://pokeapi.co/api/v2/pokemon/188/,"grass, flying","chlorophyll, leaf-guard, infiltrator",55,45,50,45,65,80,False,generation-ii,infiltrator
jumpluff,https://pokeapi.co/api/v2/pokemon/189/,"grass, flying","chlorophyll, leaf-guard, infiltrator",75,55,70,55,95,110,False,generation-ii,infiltrator
aipom,https://pokeapi.co/api/v2/pokemon/190/,normal,"run-away, pickup, skill-link",55,70,55,40,55,85,False,generation-ii,skill-link
sunkern,https://pokeapi.co/api/v2/pokemon/191/,grass,"chlorophyll, solar-power, early-bird",30,30,30,30,30,30,False,generation-ii,early-bird
sunflora,https://pokeapi.co/api/v2/pokemon/192/,grass,"chlorophyll, solar-power, early-bird",75,75,55,105,85,30,False,generation-ii,early-bird
yanma,https://pokeapi.co/api/v2/pokemon/193/,"bug, flying","speed-boost, compound-eyes, frisk",65,65,45,75,45,95,False,generation-ii,frisk
wooper,https://pokeapi.co/api/v2/pokemon/194/,"water, ground","damp, water-absorb, unaware",55,45,45,25,25,15,False,generation-ii,unaware
quagsire,https://pokeapi.co/api/v2/pokemon/195/,"water, ground","damp, water-absorb, unaware",95,85,85,65,65,35,False,generation-ii,unaware
